,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
348,Tonala,MX,89.6,scattered clouds,20.6167,-103.2333,Mendoza
351,San Cristobal,VE,75.2,broken clouds,7.7669,-72.225,Posada Villaven C.A.
353,Kununurra,AU,82.4,broken clouds,-15.7667,128.7333,Hotel Kununurra
354,Singleton,AU,84.99,few clouds,-32.5667,151.1833,Quest Singleton
357,Caravelas,BR,77.58,very heavy rain,-17.7125,-39.2481,Pousada dos Navegantes
361,Redwater,US,75.2,overcast clouds,33.3582,-94.2544,Witterstaetter Properties
362,Oistins,BB,77.0,few clouds,13.0667,-59.5333,Butterfly Beach Hotel
364,Natitingou,BJ,84.2,clear sky,10.3042,1.3796,Auberge Centrale
368,Iralaya,HN,80.6,scattered clouds,15.0,-83.2333,Iglesia morava renovada
374,Kawalu,ID,77.34,broken clouds,-7.3817,108.2082,KOSAN UNGU UNSIK
378,Gweta,BW,77.34,scattered clouds,-20.1833,25.2333,Gweta Lodge
380,Aden,YE,77.94,clear sky,12.7794,45.0367,Sama Emirate Hotel
383,Kaeo,NZ,75.99,clear sky,-35.1,173.7833,Bushido Lodge
389,Harlingen,US,75.2,clear sky,26.1906,-97.6961,Courtyard by Marriott Harlingen
391,Salvador,SV,84.2,few clouds,13.8333,-88.9167,Chico's Ranch
394,Wanning,CN,76.23,broken clouds,18.8003,110.3967,Paradise Hotel
395,Kavaratti,IN,82.45,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
400,Ballina,AU,75.2,overcast clouds,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
401,Corowa,AU,75.99,overcast clouds,-36.0333,146.3833,Statesman Motor Inn
403,Fomboni,KM,82.94,broken clouds,-12.28,43.7425,Auberge les abou
405,Boueni,YT,77.0,clear sky,-12.9025,45.0761,The feet in water
411,Casino,AU,75.2,overcast clouds,-28.8667,153.05,Squatters Homestead Motel
415,Road Town,VG,77.0,scattered clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
420,Cayenne,GF,80.01,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
421,Dawei,MM,80.53,clear sky,14.0833,98.2,Hotel Dawei
423,Puerto Quijarro,BO,76.21,clear sky,-17.7833,-57.7667,Hotel palance
426,Si Sa Ket,TH,84.99,clear sky,14.8333,104.3333,ร้านค้า อัญชัน
430,Champerico,GT,84.2,broken clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
431,Buala,SB,82.8,moderate rain,-8.145,159.5921,Maringe Lagoon Lodge
449,Yenagoa,NG,77.09,overcast clouds,4.9247,6.2642,Aridolf Resort Wellness and Spa
454,Matara,LK,77.2,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
463,Ugoofaaru,MV,82.89,clear sky,5.6667,73.0,Ungoofaaru Inn
464,Kirakira,SB,84.13,overcast clouds,-10.4544,161.9205,SanBiz Lodge
471,Samarai,PG,84.72,overcast clouds,-10.6167,150.6667,Nuli Sapi
478,Sibolga,ID,78.53,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
